run_id,context_id,device,dataset,best_accuracy,best_latency,hv,igd_plus,spacing,c_metric,runtime_sec,evaluations
1,1,edgegpu,cifar10,94.37334,0.50138474,1,0,15.24688142,0,0.7315713,16328
1,2,edgetpu,cifar10,94.37334,0.34654593,0.9999274862,1.50126556e-05,0.5722105277,0,0.9246315,16003
1,3,eyeriss,cifar10,94.37334,1.67954,0.9996183648,0.001184210526,0.7393031535,0,0.5442758,16607
1,4,fpga,cifar10,94.37334,1.13296,0.9995401047,0.003199872,0.7036513825,0,0.4544536,16153
1,5,pixel3,cifar10,94.37334,0.00327686,0.9996606713,0.01122327243,11.87855157,0,0.7552284,16297
1,6,raspi4,cifar10,94.37334,0.01129678,0.9999801035,0.001859201905,12.99104601,0,0.6099458,16099
1,7,edgegpu,cifar100,73.513336,0.5058527,0.9999812555,0.002783505155,12.90985788,0,0.5696434,16435
1,8,edgetpu,cifar100,73.513336,0.35524306,0.9998601658,0.0001705928889,0.7576846014,0,0.6874863,16158
1,9,eyeriss,cifar100,73.513336,1.68256,0.9993262164,0.008714893617,1.471746268,0,0.7283162,16706
1,10,fpga,cifar100,73.513336,1.13296,0.9991879091,0.004074733333,1.343002177,0,0.4707277,16506
1,11,pixel3,cifar100,73.513336,0.0087526,0.9970013731,0.005317913907,10.34496244,0,0.6947045,16495
1,12,raspi4,cifar100,73.513336,0.01521528,0.999957065,0.006412529752,9.404978442,0,0.7289791,16366
1,13,edgegpu,ImageNet16-120,47.033333,0.5339527,0.9995181403,0.01002981544,5.123111212,0,0.7441528,16323
1,14,edgetpu,ImageNet16-120,47.31111,0.35810986,0.9990415972,0.0005763930027,0.9930205801,0,0.6217236,15985
1,15,eyeriss,ImageNet16-120,47.31111,0.42304,0.9986584963,0.004766896552,1.68079872,0,0.8049611,16653
1,16,fpga,ImageNet16-120,47.31111,0.28432,0.999943894,0.0001640764331,1.349631851,0,0.6191596,16342
1,17,pixel3,ImageNet16-120,47.31111,0.00528942,0.9999549213,0.001219499059,4.294115999,0,0.8204885,16316
1,18,raspi4,ImageNet16-120,47.31111,0.0115138,0.998858643,0.008192164109,3.857498226,0,0.8218059,16242
2,1,edgegpu,cifar10,94.37334,0.5385971,0.9999355078,0.006635435309,15.24618062,0,0.6420102,16406
2,2,edgetpu,cifar10,94.37334,0.35215905,0.9990453527,0.0005101290041,0.5890478299,0,0.8316543,15862
2,3,eyeriss,cifar10,94.37334,1.67954,1,0,0.7388349889,0,0.8096907,16561
2,4,fpga,cifar10,94.37334,1.13296,1,0,0.7053987681,0,0.6388665,16238
2,5,pixel3,cifar10,94.37334,0.00327686,0.9995956943,0.008648783069,12.33281272,0,1.1182285,16373
2,6,raspi4,cifar10,94.37334,0.0112835,0.9999123413,0.006832321619,12.66418045,0,0.754237,16104
2,7,edgegpu,cifar100,73.513336,0.5058527,0.9999852449,0.0008454757732,12.2954385,0,0.8519163,16393
2,8,edgetpu,cifar100,73.513336,0.35493976,0.9993004402,0.0002494109206,0.751781119,0,0.7575053,16102
2,9,eyeriss,cifar100,73.513336,1.68256,0.9993262164,0.008714893617,1.471746268,0,0.4677727,16560
2,10,fpga,cifar100,73.513336,1.13296,0.9993292903,0.00704,1.372034022,0,0.4696797,16258
2,11,pixel3,cifar100,73.513336,0.00884682,0.9999411394,0.006675632799,10.2707525,0,0.6870545,16417
